baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneSymbol,gene_type,line
1746.38657658443,-2.11309169118575,0.0853596076275484,-24.755171092232,2.7272361523223997e-135,5.12315572520251e-133,IL1A,protein_coding,RT112
483.726471426106,-3.61647324161312,0.146291270203734,-24.7210461470231,6.3525116874349e-135,1.18407863197188e-132,PANX2,protein_coding,RT112
1885.81113850763,-2.29489440111021,0.092853709677342,-24.7151611829485,7.34891540360244e-135,1.359266699074e-132,TRIM16L,protein_coding,RT112
1918.7400119434,-1.78834623738864,0.0727502711718791,-24.581987236357,1.9685864279977003e-133,3.61333287490112e-131,LSS,protein_coding,RT112
830.363818759559,2.86878971349492,0.116792833988492,24.5630627798414,3.13649217548885e-133,5.71340563330525e-131,TCN1,protein_coding,RT112
613.026147971531,-2.73450970486209,0.11256413934065,-24.2929028807897,2.32991998144114e-130,4.2122500717107e-128,TBX1,protein_coding,RT112
467.90952695642,-3.16263174864175,0.131100515283452,-24.1237171478985,1.40963320805054e-128,2.52945003638622e-126,FBXO32,protein_coding,RT112
1137.2612343167,-2.26315995615012,0.0938179444152532,-24.1228900319219,1.43809090617992e-128,2.5613996917849097e-126,ABHD4,protein_coding,RT112
2866.02254955442,1.62382218164088,0.0674248009983874,24.0834553101568,3.72642332074007e-128,6.58837123141139e-126,HSPA1B,protein_coding,RT112
464.938999703138,-3.38905428500897,0.141569563895421,-23.9391447692281,1.1988369115541699e-126,2.1040900392934298e-124,CRISPLD2,protein_coding,RT112
1713.49811927847,-2.27348518274355,0.0951196666704506,-23.9013157039354,2.9677609671949895e-126,5.17100090262344e-124,MUC2,protein_coding,RT112
1056.3141025289,-2.20538924895324,0.0923003136264787,-23.8936268177594,3.56752953609699e-126,6.17131278384547e-124,SIK1,protein_coding,RT112
3219.74259693184,-1.8871171394082,0.0792788997013306,-23.8035233399755,3.07066083668698e-125,5.2738599870098795e-123,CD99,protein_coding,RT112
6809.76151232358,-1.63245223862827,0.0686427052079422,-23.7818750540646,5.14420394838999e-125,8.77250949922251e-123,CORO2A,protein_coding,RT112
4357.6467755182,-1.50803250830668,0.063489133356804,-23.7526081799173,1.0326264252406e-124,1.7485565066838098e-122,BCAR3,protein_coding,RT112
1224.84256254445,-2.22382811338978,0.093762138005134,-23.7177624220558,2.3646711021810098e-124,3.97612004559038e-122,DLC1,protein_coding,RT112
377.862654670476,4.24230794517604,0.178927111288141,23.7096989642017,2.86392323693838e-124,4.7821551550127295e-122,CD96,protein_coding,RT112
418.892897980364,-6.07103734568066,0.256369068377672,-23.6808495818109,5.6802752552324396e-124,9.41946334565959e-122,IAH1,protein_coding,RT112
2131.07282424389,1.73707373643698,0.0733547232265816,23.6804620074895,5.7327423705465895e-124,9.44135549998581e-122,NR2F1,protein_coding,RT112
1822.95530966273,-1.88842462941205,0.0797698538716134,-23.6734121696073,6.77615126882391e-124,1.10838474325763e-121,PROSER2,protein_coding,RT112
2659.48420137221,-1.70010201677546,0.0719475230116158,-23.6297504849608,1.9066190999960002e-123,3.0976119094191703e-121,MAFG,protein_coding,RT112
5858.79203281919,-2.28650767772838,0.0972605683850018,-23.5090922837026,3.2926459363621e-122,5.3135350026729306e-120,FAT1,protein_coding,RT112
6148.86789055914,1.41469942800661,0.0602166630422205,23.4934876250899,4.75445794615388e-122,7.62139608768466e-120,FAM210B,protein_coding,RT112
1186.78182870079,-2.1526883542211,0.0919229246734695,-23.4184058206147,2.77541933491627e-121,4.41953363629548e-119,IL1B,protein_coding,RT112
5789.79528468871,1.54924035073478,0.0661585103170374,23.4170984701845,2.86186262793066e-121,4.52720308477584e-119,DHRS2,protein_coding,RT112
857.553741708033,8.01357533846689,0.342683998061551,23.3847374951763,6.1112240691316905e-121,9.60420802237068e-119,PIGR,protein_coding,RT112
2162.25823048153,-1.69622674991894,0.0725423335209026,-23.3825776976168,6.42838337258702e-121,1.0037044038562e-118,ZNF185,protein_coding,RT112
1885.49123454332,-1.76298940172909,0.075546420740081,-23.3365046875575,1.8895667115318302e-120,2.93126655346987e-118,SNAI2,protein_coding,RT112
12093.6890449125,-1.51261465325864,0.0648201913205216,-23.3355474959815,1.93232794603187e-120,2.97838624758566e-118,UPK1B,protein_coding,RT112
2623.7664058241,-1.809195157682,0.0777663149691184,-23.2645092981511,1.0144738644006e-119,1.5536958006058902e-117,AMOTL2,protein_coding,RT112
1463.31301358709,2.06909858515836,0.0890201478114609,23.2430369531691,1.6729744741760798e-119,2.5459918500989803e-117,NPTXR,protein_coding,RT112
403.658893541108,-3.25750604165346,0.140174045105482,-23.2390100407116,1.83742541930846e-119,2.77867259165232e-117,LBH,protein_coding,RT112
1841.19822084394,1.80839552756881,0.0778669100284926,23.2241850473725,2.59454052188293e-119,3.89910792804218e-117,TMC4,protein_coding,RT112
6385.6611591105,1.41823119482568,0.0611348268190075,23.1984168209787,4.72387563039313e-119,7.05500556104366e-117,TUBA4A,protein_coding,RT112
515.712926188111,3.11841741657933,0.134552381382844,23.1762335570001,7.90861995524734e-119,1.17384423965384e-116,PRKCB,protein_coding,RT112
2600.082084724,-1.85427916074889,0.0804159570504754,-23.0585971834544,1.20599121286966e-117,1.77902200696019e-115,PAG1,protein_coding,RT112
1242.09945554657,-2.27541384372928,0.0987500654640753,-23.0421502308478,1.76318366813489e-117,2.58510678660387e-115,IRS2,protein_coding,RT112
5390.66034324259,-1.42789779275336,0.0620428607288575,-23.014699450975,3.32163417662389e-117,4.840526895571e-115,FAM84A,protein_coding,RT112
2487.62512247772,-1.64681509881559,0.0715855373324509,-23.0048576874907,4.1675977990893e-117,6.03674030597001e-115,VSIR,protein_coding,RT112
392.718780492509,-6.00407363603787,0.261699070051193,-22.9426632462368,1.7441929202329e-116,2.51132447706587e-114,CDA,protein_coding,RT112
10442.3218063685,-1.58010541529179,0.0689302412016455,-22.9232538251161,2.72440636060336e-116,3.89930660361356e-114,FDFT1,protein_coding,RT112
1172.15931749865,-2.26495685790528,0.0991049738395951,-22.854118922136,1.32987059077424e-115,1.8921146955719902e-113,AHNAK2,protein_coding,RT112
7683.5210536386,-1.44282876359893,0.0632928097804868,-22.79609277267,5.01316364824322e-115,7.09067764247108e-113,ZFP36L1,protein_coding,RT112
2011.47746001676,-1.82388135321678,0.0800516544832913,-22.7838058437314,6.63675242938665e-115,9.3322053897428e-113,PSAT1,protein_coding,RT112
2155.83739065803,-1.7463792137999,0.0768841065436331,-22.7144372525003,3.2256993821192798e-114,4.5094152118057005e-112,SPOCK1,protein_coding,RT112
17265.8981464214,1.34788719847172,0.0593948344829458,22.6936771556918,5.17272215758357e-114,7.189485796479591e-112,MBOAT7,protein_coding,RT112
1578.35798137878,1.95779121411124,0.0865469105686424,22.6211565640864,2.68352615184163e-113,3.70835553569149e-111,C16orf45,protein_coding,RT112
744.136828900347,-2.2722041461474,0.100576473682013,-22.591805647624,5.217121981898391e-113,7.16832560312838e-111,FAM114A1,protein_coding,RT112
