baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000203879.11	553.304006432249	0.880735679962017	0.133513202235421	3.82374170819545e-12	4.53586975109791e-10	GDI1	protein_coding
ENSG00000136068.14	6484.52449295147	0.326601628342986	0.0479892813756096	3.88999915515981e-12	4.57251718874694e-10	FLNB	protein_coding
ENSG00000162434.11	1137.05010056325	0.609088776434455	0.0915383168917701	4.11415038976756e-12	4.79242923781032e-10	JAK1	protein_coding
ENSG00000198176.12	1619.47003772997	-0.525255912764489	0.0791894075162229	4.70216499080386e-12	5.4284815474191e-10	TFDP1	protein_coding
ENSG00000264364.2	1452.6870749011	0.552893532563806	0.0836720462058765	5.6035147455621e-12	6.41180935045292e-10	DYNLL2	protein_coding
ENSG00000056586.15	948.819350990732	0.75647355252987	0.115549712778738	6.71679685721197e-12	7.61826169857462e-10	RC3H2	protein_coding
ENSG00000112414.14	1109.61746465376	0.799220326899327	0.122580499286348	9.7950960648277e-12	1.10130949668019e-09	ADGRG6	protein_coding
ENSG00000196109.6	39.4232073494877	5.64206322027144	0.960522526295912	1.5656644385643e-11	1.74517596471004e-09	ZNF676	protein_coding
ENSG00000163430.11	2597.93660147038	-0.582923396816582	0.0916401942566779	1.71076840926947e-11	1.86446868041126e-09	FSTL1	protein_coding
ENSG00000261115.5	260.137732539973	1.28054724284694	0.20201583477964	1.6928894847163e-11	1.86446868041126e-09	TMEM178B	protein_coding
ENSG00000125977.6	2111.08134695292	-0.823346151263864	0.128305077108374	1.71594565327873e-11	1.86446868041126e-09	EIF2S2	protein_coding
ENSG00000153815.16	624.794616301929	0.791384617505709	0.124874743523192	2.23194414790624e-11	2.40491981936898e-09	CMIP	protein_coding
ENSG00000113387.11	2123.72862047829	-0.46150339767864	0.0723680963543764	2.87772464250484e-11	3.0751222832717e-09	SUB1	protein_coding
ENSG00000163347.5	701.21968981411	1.32128787021121	0.208220669388499	2.9696728075266e-11	3.14736634437041e-09	CLDN1	protein_coding
ENSG00000084207.16	317.315589661167	-1.71116639206699	0.284870481368165	3.5006031015643e-11	3.67990228481516e-09	GSTP1	protein_coding
ENSG00000116560.10	2781.68715451806	-0.404635857129594	0.0633258617905745	3.62074707285127e-11	3.77550481064249e-09	SFPQ	protein_coding
ENSG00000116016.13	838.704754935867	0.863757064470432	0.140119074860528	4.01035592290456e-11	4.14831216665247e-09	EPAS1	protein_coding
ENSG00000101333.16	18.7436874740839	-7.49446143761934	1.49942493836492	4.22799857849929e-11	4.33873187460284e-09	PLCB4	protein_coding
ENSG00000106771.12	1144.78564047638	0.687992658271604	0.109959137829159	5.03430436487657e-11	5.12547680613024e-09	TMEM245	protein_coding
ENSG00000180340.6	323.927447804481	-1.238831485305	0.20485139439441	5.90993069632898e-11	5.96995342996357e-09	FZD2	protein_coding
ENSG00000124422.11	2143.06387249963	0.670785817173956	0.108698530022471	9.47254637358852e-11	9.49457555120151e-09	USP22	protein_coding
ENSG00000052802.12	1596.06947400798	0.594529119931655	0.0972564419281913	1.01732613152928e-10	1.01184822159028e-08	MSMO1	protein_coding
ENSG00000183087.14	463.103505657277	-1.76302919242708	0.308186046070007	1.29076948360469e-10	1.27401903992433e-08	GAS6	protein_coding
ENSG00000163682.16	2198.37780238451	-0.422447038133101	0.0687012011998849	1.59991933196605e-10	1.56719370926675e-08	RPL9	protein_coding
ENSG00000112739.16	1029.64525009147	-0.626721512215264	0.104365778761233	1.93602966022926e-10	1.88217018847852e-08	PRPF4B	protein_coding
ENSG00000112531.16	755.011384372376	0.756450775385025	0.125767837512905	1.98461881464829e-10	1.91500905025391e-08	QKI	protein_coding
ENSG00000133466.13	561.465652748894	-0.821450231217769	0.139621994396513	2.70897148512727e-10	2.59459268908856e-08	C1QTNF6	protein_coding
ENSG00000092621.12	816.772453265209	-0.788386508674494	0.134355650013652	3.58110192448831e-10	3.40467999144366e-08	PHGDH	protein_coding
ENSG00000132507.17	4313.29662942747	-0.361553904262369	0.0597223010285608	3.78449148291613e-10	3.57178648716099e-08	EIF5A	protein_coding
ENSG00000204574.12	1201.27114974867	-0.572113213744874	0.0972178292251175	4.0316439160701e-10	3.77747506049177e-08	ABCF1	protein_coding
ENSG00000124702.17	640.547183439132	-0.731942470450022	0.125150733960133	4.15162312080945e-10	3.86190553611987e-08	KLHDC3	protein_coding
ENSG00000123200.16	519.661521469619	-0.900602483512717	0.155850908433727	4.51981662662755e-10	4.1743734987353e-08	ZC3H13	protein_coding
ENSG00000175793.11	3476.53277715908	-0.421050511778004	0.0707551851333014	4.61463399336835e-10	4.23171755562076e-08	SFN	protein_coding
ENSG00000172575.11	72.6749270936704	2.12402057045033	0.371979630500567	5.32311661682203e-10	4.8470350602471e-08	RASGRP1	protein_coding
