baseMean	log2FoldChange	lfcSE	pvalue	padj	GeneSymbol	gene_type
ENSG00000067167.7	16842.4962527643	-1.50352351618416	0.0516335296347297	3.60145177068716e-187	7.61221636435589e-185	TRAM1	protein_coding
ENSG00000104738.16	12160.1850541593	-1.35282669535051	0.0465503758516391	2.49327963156717e-186	5.22449551762959e-184	MCM4	protein_coding
ENSG00000154358.20	1499.48352387403	2.40418879391442	0.0829073497056818	6.93048011733035e-186	1.43982205309358e-183	OBSCN	protein_coding
ENSG00000135535.16	7585.32538423864	-1.65997629568428	0.0573502142437573	5.73541776360314e-185	1.18144745406696e-182	CD164	protein_coding
ENSG00000186529.15	1246.68128454501	3.02350713855193	0.10465687485072	1.84953811074556e-184	3.77787587041112e-182	CYP4F3	protein_coding
ENSG00000121289.17	3179.2342913906	1.80076220497886	0.0626158334146709	1.00785468208794e-182	2.04149364645929e-180	CEP89	protein_coding
ENSG00000168453.14	1890.85629616861	2.28677592477912	0.0798485812105757	2.85820853734655e-181	5.74169214192417e-179	HR	protein_coding
ENSG00000076003.4	4653.19148361354	-1.55028868481648	0.0541737405484999	7.40708559268012e-181	1.47577073361701e-178	MCM6	protein_coding
ENSG00000182871.14	4424.52652071257	2.11529147701243	0.0740086742095606	1.48856081220236e-180	2.94166241156121e-178	COL18A1	protein_coding
ENSG00000108846.15	8252.85703659773	1.4771874338449	0.0517941605224944	1.28507274770884e-179	2.51905349020635e-177	ABCC3	protein_coding
ENSG00000147689.16	1390.30077170196	2.76817268295757	0.0972547173411683	2.34497958120301e-179	4.55995349442412e-177	FAM83A	protein_coding
ENSG00000203727.3	1076.72176257271	2.84925909339267	0.100555643556417	1.13369592285226e-177	2.18704339656903e-175	SAMD5	protein_coding
ENSG00000225383.7	759.621923169044	3.71043696253435	0.131076092034878	1.64555078729461e-177	3.14948055013938e-175	RP1-186E20.2	lincRNA
ENSG00000103222.18	9867.31736889339	1.42107577728298	0.0502797967371547	3.68408961345091e-177	6.99602861204307e-175	ABCC1	protein_coding
